N,P,K,temperature,humidity,ph,rainfall,label
197,49,248,36.44,76.07,6.73,122.93,ladyfinger
124,67,188,16.37,69.96,6.31,56.21,spinach
162,79,249,35.34,55.0,6.28,138.76,ladyfinger
179,97,244,30.19,62.81,6.34,113.22,tomato
201,86,264,23.25,60.4,6.39,138.22,tomato
178,71,231,25.45,55.67,6.5,114.45,tomato
159,91,204,26.1,64.77,5.95,114.1,tomato
120,48,217,23.26,68.94,6.34,40.0,spinach
158,92,194,29.94,51.21,6.7,124.03,tomato
156,72,257,32.91,44.64,5.52,101.58,chilli
171,79,263,28.59,44.71,5.8,94.18,chilli
164,73,204,32.78,80.54,6.63,111.27,ladyfinger
128,74,204,22.77,64.4,5.92,79.47,spinach
191,84,288,30.37,67.76,6.33,85.27,tomato
174,58,279,31.38,45.0,6.59,99.74,tomato
145,63,242,29.03,66.69,6.45,111.03,ladyfinger
184,62,222,29.79,69.55,6.37,114.55,ladyfinger
180,74,289,26.53,48.7,5.99,135.48,tomato
123,46,182,25.56,76.49,6.43,80.92,spinach
171,83,238,32.43,70.14,7.11,101.88,ladyfinger
123,51,205,17.96,57.23,6.86,66.86,spinach
145,54,225,27.45,60.32,6.88,74.27,chilli
156,66,228,31.32,61.67,6.51,91.56,chilli
141,62,232,33.93,64.37,5.5,115.78,chilli
180,75,253,31.82,40.26,6.52,92.7,chilli
145,111,249,27.83,64.7,6.58,143.65,tomato
162,53,229,23.82,73.63,6.15,111.35,tomato
156,49,221,34.27,75.52,6.32,125.04,ladyfinger
141,66,265,30.96,55.0,6.32,106.56,ladyfinger
142,67,223,27.7,85.0,5.93,114.84,ladyfinger
212,74,217,29.04,60.69,6.34,124.79,tomato
109,62,215,21.94,65.94,6.88,68.17,spinach
117,50,151,24.24,56.42,6.57,121.48,spinach
157,67,199,27.77,53.28,5.0,75.97,chilli
155,34,242,22.63,64.23,6.34,87.98,spinach
165,78,260,27.63,60.54,5.89,113.81,chilli
167,77,222,35.23,78.88,6.83,95.48,ladyfinger
148,71,240,27.6,73.67,5.96,130.66,ladyfinger
92,46,166,19.07,73.43,6.22,132.65,spinach
142,70,254,32.43,82.83,6.58,130.1,ladyfinger
148,52,150,20.92,64.49,6.2,69.7,spinach
188,83,211,32.33,75.39,7.01,125.81,ladyfinger
176,78,263,25.35,61.06,6.05,86.99,tomato
143,66,290,27.49,60.64,6.5,137.41,tomato
185,87,231,23.02,64.03,5.5,112.07,tomato
137,77,230,27.57,66.35,6.12,104.6,chilli
185,52,264,38.32,76.11,6.72,113.73,ladyfinger
143,73,207,30.08,65.73,5.51,153.35,tomato
199,94,220,31.16,65.87,5.94,76.87,chilli
107,50,185,19.41,65.39,6.25,85.41,spinach
177,69,241,29.32,68.33,5.73,77.72,chilli
156,57,236,29.65,56.71,5.61,93.21,chilli
151,70,197,30.23,66.17,6.18,90.62,chilli
180,52,220,27.93,52.51,6.16,103.39,chilli
124,59,203,21.77,55.44,6.94,116.14,spinach
105,72,268,28.94,53.2,6.12,78.82,chilli
202,64,291,28.94,65.5,6.79,92.21,tomato
153,98,185,32.39,68.31,5.87,107.19,chilli
159,58,244,33.53,65.42,6.47,137.2,ladyfinger
197,91,219,26.0,55.0,6.93,108.96,ladyfinger
188,68,225,29.8,48.43,6.65,79.45,chilli
170,79,237,37.03,85.0,6.61,88.16,ladyfinger
200,55,193,30.7,71.93,5.67,84.68,chilli
124,75,200,21.43,62.14,6.45,107.46,spinach
195,88,274,29.0,75.0,5.79,77.23,tomato
114,74,241,28.66,63.73,6.59,49.67,spinach
188,59,247,29.74,53.96,5.39,84.3,chilli
180,67,271,32.67,58.13,6.98,89.15,ladyfinger
143,71,175,19.57,54.94,6.43,89.33,spinach
100,56,211,24.08,66.41,6.39,63.45,spinach
133,65,250,27.17,62.64,6.34,90.49,ladyfinger
218,79,220,21.74,48.22,5.65,154.46,tomato
161,87,273,34.73,76.37,6.68,135.49,ladyfinger
122,82,201,27.66,62.94,5.25,59.53,chilli
148,76,256,31.45,60.74,6.6,87.61,ladyfinger
95,40,206,25.14,78.47,6.36,101.57,spinach
131,54,211,29.81,66.15,6.5,129.04,ladyfinger
200,58,211,32.89,75.73,6.76,88.84,ladyfinger
195,96,223,27.27,62.36,6.48,69.31,tomato
134,100,235,26.18,45.88,6.9,87.76,tomato
195,65,209,22.61,45.0,5.99,112.48,tomato
172,68,242,32.8,66.42,6.54,84.59,tomato
189,72,246,33.01,52.46,6.85,111.95,tomato
111,44,214,30.74,46.0,5.56,101.23,chilli
171,94,244,36.52,47.62,5.67,66.22,chilli
191,80,199,29.15,49.9,6.62,61.6,chilli
131,68,227,29.18,59.68,6.11,126.65,chilli
148,89,237,30.92,51.8,5.77,118.11,chilli
104,52,153,22.64,65.01,6.25,93.18,spinach
154,65,243,30.23,71.54,6.34,107.93,ladyfinger
177,62,234,29.67,53.53,5.69,123.31,chilli
239,69,238,27.81,63.17,6.31,152.1,tomato
208,84,240,27.88,60.16,5.88,134.47,tomato
152,64,200,32.87,45.42,5.64,67.92,chilli
152,72,247,30.27,57.92,7.5,106.89,ladyfinger
131,55,262,32.1,66.94,6.35,120.76,ladyfinger
135,86,269,29.88,65.0,5.58,111.5,chilli
141,77,225,29.5,54.9,5.61,60.06,chilli
130,100,273,22.77,55.14,6.83,156.19,tomato
215,82,290,23.93,56.45,6.08,117.14,tomato
154,58,270,32.29,83.83,6.57,115.33,ladyfinger
114,64,201,29.76,49.91,6.3,84.24,chilli
220,61,216,24.71,59.46,6.37,138.49,tomato
173,79,265,28.87,45.0,5.75,143.24,tomato
141,69,300,34.09,85.0,6.63,96.14,ladyfinger
143,92,216,35.08,76.75,6.53,95.25,ladyfinger
155,78,230,26.9,60.21,6.17,68.59,chilli
174,59,186,33.54,60.86,6.5,106.01,chilli
95,54,186,15.0,80.0,6.83,72.47,spinach
166,69,220,26.68,52.6,5.69,97.67,chilli
122,58,190,22.81,62.25,6.69,72.61,spinach
149,35,247,31.89,80.77,6.55,77.47,ladyfinger
160,67,166,18.03,68.85,6.66,90.98,spinach
168,68,213,31.33,61.53,6.24,110.8,chilli
124,51,208,21.11,66.35,6.9,59.87,spinach
195,69,244,26.64,53.69,6.2,114.61,tomato
148,68,248,34.1,73.68,6.4,96.0,ladyfinger
140,84,175,31.58,79.38,6.36,101.09,ladyfinger
135,59,232,24.02,63.89,6.13,75.82,spinach
162,70,234,27.57,67.46,6.4,63.1,chilli
196,49,282,31.22,70.28,5.97,93.03,ladyfinger
99,54,203,23.54,70.69,6.16,49.32,spinach
131,75,190,32.11,51.31,6.7,143.65,tomato
169,68,246,32.82,69.58,7.0,81.12,ladyfinger
202,57,198,26.77,78.6,6.26,104.42,ladyfinger
157,75,239,32.27,69.09,5.82,152.64,ladyfinger
95,53,192,29.28,68.46,6.09,68.7,spinach
220,90,226,27.85,58.72,6.33,156.28,tomato
142,72,194,31.31,48.9,5.94,107.56,chilli
151,62,212,36.01,52.54,6.14,100.83,chilli
136,70,251,29.69,82.17,6.27,143.66,ladyfinger
155,76,209,30.7,47.58,6.52,77.31,chilli
144,72,195,30.32,56.2,5.4,109.91,chilli
127,79,258,35.71,72.0,5.64,140.0,chilli
174,87,272,29.08,55.0,7.34,159.92,ladyfinger
152,50,189,21.15,54.24,6.22,59.92,spinach
168,95,203,29.7,52.82,5.22,83.79,chilli
168,86,286,30.27,72.03,5.83,128.14,ladyfinger
184,85,250,21.74,61.28,7.0,111.0,tomato
195,115,206,31.78,69.17,5.81,145.18,tomato
100,36,191,22.06,78.41,6.6,75.62,spinach
213,79,259,26.69,61.46,6.38,117.54,tomato
150,77,225,33.93,54.41,5.93,101.85,chilli
96,46,215,19.15,68.71,6.09,96.96,spinach
133,49,224,30.84,66.92,5.49,113.09,chilli
180,70,238,33.99,65.63,5.83,125.91,ladyfinger
137,46,202,20.57,68.83,6.6,100.75,spinach
163,65,232,31.67,69.07,6.75,123.4,ladyfinger
125,75,260,23.82,63.53,6.66,97.75,spinach
118,52,163,19.84,61.31,6.82,86.87,spinach
193,84,235,26.46,50.41,6.91,120.34,tomato
166,73,252,36.26,55.0,6.67,131.64,ladyfinger
202,58,260,25.56,57.07,6.4,133.04,tomato
148,87,224,27.38,51.75,6.53,99.08,tomato
122,68,208,20.18,68.65,6.36,66.11,spinach
129,68,213,21.71,80.0,6.77,91.47,spinach
152,61,226,26.27,47.44,6.26,69.69,chilli
139,39,181,19.69,57.48,6.75,76.12,spinach
190,60,238,27.88,51.21,6.92,98.66,tomato
172,79,199,32.06,61.46,6.38,105.02,ladyfinger
118,79,193,28.98,66.73,5.44,59.35,chilli
114,59,170,29.59,45.86,6.02,57.5,chilli
194,80,287,30.95,48.8,6.43,114.86,tomato
142,64,212,36.67,76.32,6.61,137.19,ladyfinger
120,57,234,32.76,59.48,6.35,94.21,ladyfinger
163,55,234,31.37,68.73,6.11,95.94,ladyfinger
146,61,259,26.26,84.22,6.59,109.07,ladyfinger
110,84,257,38.02,79.9,7.03,129.33,ladyfinger
171,82,249,27.0,45.22,5.56,116.69,chilli
188,64,268,35.4,73.44,6.6,119.3,ladyfinger
148,72,224,22.26,58.53,6.25,90.45,spinach
103,68,226,23.75,63.96,6.67,65.86,spinach
166,62,251,24.43,67.41,6.16,115.56,tomato
149,73,170,27.58,51.87,6.6,68.4,chilli
144,54,203,29.97,55.49,6.77,91.63,chilli
173,60,258,34.88,56.62,6.17,91.18,ladyfinger
153,51,195,20.25,56.88,6.31,55.52,spinach
154,64,199,26.71,72.0,5.9,51.49,chilli
148,78,283,21.43,72.28,6.65,108.51,tomato
137,69,210,27.63,58.81,6.13,44.43,spinach
135,62,240,30.7,85.0,6.06,135.95,ladyfinger
121,56,185,35.49,69.8,5.51,118.27,ladyfinger
129,57,211,22.67,75.23,6.21,66.46,spinach
139,57,175,36.82,82.76,5.99,104.99,ladyfinger
160,47,179,20.2,50.0,6.34,64.82,spinach
119,71,203,29.11,70.0,6.36,78.93,ladyfinger
146,56,262,27.36,63.04,6.48,126.64,tomato
198,88,265,28.0,63.32,6.84,112.87,tomato
126,63,231,21.7,63.37,6.24,63.46,spinach
124,58,168,18.76,73.43,6.49,93.63,spinach
146,67,267,25.8,57.59,5.55,124.67,tomato
141,83,193,31.04,51.93,5.7,140.0,chilli
207,71,241,30.31,55.78,6.2,129.97,tomato
103,76,170,22.93,70.07,6.62,76.29,spinach
186,75,254,32.55,63.05,6.05,107.5,tomato
185,85,217,25.36,74.39,5.91,161.41,tomato
172,55,234,31.89,65.78,5.99,103.71,ladyfinger
100,49,202,20.49,52.59,6.52,58.75,spinach
108,50,174,25.67,62.93,6.61,68.59,spinach
142,51,215,31.87,69.44,5.52,81.47,chilli
141,55,178,21.51,59.04,6.3,77.11,spinach
198,71,223,35.97,69.74,6.49,109.06,ladyfinger
125,43,208,21.53,50.0,6.24,71.73,spinach
157,93,195,35.87,75.25,6.21,145.85,ladyfinger
140,62,176,30.06,54.58,6.26,91.38,chilli
163,64,270,25.61,52.4,5.62,107.93,tomato
115,50,202,28.94,50.06,6.71,47.75,spinach
173,84,242,23.37,72.75,6.24,155.78,tomato
150,63,271,28.06,58.89,6.03,112.37,tomato
240,81,284,28.7,63.99,6.06,124.88,tomato
140,61,219,20.35,58.45,6.5,76.6,spinach
136,85,219,33.13,64.19,6.04,101.37,tomato
144,45,188,23.39,71.27,6.42,68.05,spinach
226,83,240,23.17,57.9,6.07,144.01,tomato
154,71,223,28.09,54.54,6.45,92.28,chilli
170,65,219,26.88,65.16,6.57,107.59,tomato
192,58,230,38.51,81.55,5.73,118.52,ladyfinger
183,71,262,29.52,53.05,6.02,87.5,chilli
102,64,226,16.46,57.56,6.05,67.0,spinach
189,78,275,27.65,56.92,6.42,141.9,tomato
100,52,158,23.2,70.18,6.36,111.48,spinach
171,81,218,26.24,47.01,6.11,96.84,chilli
124,80,209,21.06,72.37,6.64,88.4,spinach
112,61,257,22.55,66.99,6.36,63.0,spinach
103,52,210,20.31,58.42,6.57,84.9,spinach
143,56,202,23.66,58.11,6.51,40.0,spinach
129,65,206,21.22,63.43,6.48,79.26,spinach
159,80,204,31.45,58.36,6.65,106.84,tomato
174,66,243,30.62,58.57,6.17,57.91,chilli
155,84,236,29.49,65.82,5.05,131.04,chilli
147,72,223,30.01,46.29,6.44,95.9,chilli
138,74,218,30.28,50.6,5.8,95.75,chilli
146,41,246,32.75,70.28,6.14,109.24,ladyfinger
210,71,251,28.15,55.99,5.65,128.07,tomato
146,49,217,31.01,55.0,6.32,130.34,ladyfinger
127,67,170,27.02,68.35,6.29,78.88,spinach
141,100,238,37.11,66.16,6.1,96.03,chilli
173,68,195,31.0,65.1,6.22,81.31,ladyfinger
186,75,228,29.01,55.64,6.93,88.27,tomato
174,76,205,33.61,64.65,6.11,72.0,chilli
184,48,208,32.69,64.21,7.5,121.35,ladyfinger
166,85,278,27.33,68.52,6.78,97.09,tomato
115,55,162,23.54,69.58,6.48,102.49,spinach
128,57,237,26.15,52.35,6.18,88.68,chilli
187,57,222,38.94,64.37,6.7,122.37,ladyfinger
132,72,207,33.54,65.49,6.35,96.12,chilli
176,65,213,29.23,82.69,6.78,152.76,ladyfinger
122,79,258,28.68,45.89,5.02,70.38,chilli
130,67,216,27.23,55.7,6.52,73.52,tomato
156,76,257,28.83,66.84,5.74,116.57,chilli
130,61,228,23.23,63.07,6.7,118.0,spinach
130,72,170,31.45,60.28,6.3,82.1,chilli
162,81,212,26.29,65.2,5.96,124.61,chilli
124,72,232,31.55,63.52,5.69,79.35,chilli
80,70,164,21.2,61.57,6.68,48.04,spinach
80,67,192,23.28,74.58,6.09,65.81,spinach
186,68,216,33.2,83.66,6.77,122.05,ladyfinger
135,61,223,26.81,58.37,6.34,100.69,chilli
112,52,232,23.67,56.11,6.57,89.96,spinach
118,68,168,17.81,60.33,6.81,49.61,spinach
169,106,223,30.32,62.85,6.7,103.32,tomato
145,50,199,22.17,71.79,5.83,67.87,spinach
181,92,232,29.09,62.49,5.5,170.38,tomato
137,80,301,28.45,57.66,5.95,142.46,tomato
102,48,231,25.27,69.87,6.17,73.67,spinach
166,64,200,33.06,44.68,5.88,96.57,chilli
140,66,233,21.89,60.38,6.1,78.18,tomato
130,77,254,27.84,58.84,6.22,145.57,tomato
110,74,211,30.95,59.67,6.51,59.86,chilli
162,66,212,27.36,63.09,6.48,126.02,tomato
138,68,253,32.6,56.82,5.64,70.78,chilli
167,39,206,32.51,71.08,6.31,118.12,ladyfinger
142,65,215,30.99,54.41,6.25,110.48,tomato
198,73,208,26.47,58.75,6.71,85.05,chilli
122,57,185,21.05,69.93,6.86,77.21,spinach
187,105,190,29.24,75.0,6.31,161.26,tomato
145,63,199,20.75,50.0,6.18,118.23,spinach
150,81,260,32.19,54.33,6.55,50.0,chilli
109,63,246,32.36,62.31,5.61,122.32,chilli
128,73,195,19.46,59.78,6.17,64.3,spinach
164,50,286,32.62,55.57,6.1,101.15,tomato
176,78,202,33.54,52.6,5.51,86.56,chilli
129,58,225,27.0,73.11,5.95,54.41,spinach
110,65,217,27.54,69.67,6.39,91.81,spinach
156,77,256,29.05,61.92,6.3,126.21,ladyfinger
164,70,230,26.84,54.92,6.28,129.01,tomato
137,51,199,22.08,50.0,6.5,66.21,spinach
141,49,231,29.4,77.25,6.56,108.46,ladyfinger
130,92,249,31.61,51.24,5.5,126.98,tomato
166,58,288,26.51,49.85,6.13,121.71,tomato
162,75,186,32.26,69.44,6.69,105.87,ladyfinger
103,49,215,27.01,68.16,6.14,88.89,spinach
160,72,239,26.85,52.28,5.91,99.11,chilli
136,59,176,21.86,64.97,6.15,110.07,spinach
170,67,243,37.03,69.7,6.7,155.13,ladyfinger
157,60,194,23.81,64.77,5.84,93.14,chilli
135,69,224,31.71,82.9,6.12,111.32,ladyfinger
131,81,251,27.13,76.11,6.77,112.74,ladyfinger
129,61,240,25.57,63.46,5.79,82.23,chilli
153,57,228,28.63,63.37,6.31,80.09,chilli
181,58,198,40.0,76.27,6.29,129.12,ladyfinger
183,86,190,24.41,67.1,6.31,116.32,tomato
125,71,252,30.7,58.04,6.4,109.83,ladyfinger
165,87,266,29.93,46.45,6.6,105.76,tomato
207,87,224,34.54,61.55,6.14,144.1,tomato
127,70,199,26.69,50.0,6.75,81.74,spinach
151,65,247,28.95,74.99,7.05,106.2,ladyfinger
135,87,225,31.99,43.01,6.48,116.02,chilli
120,51,228,24.84,58.82,6.62,60.57,spinach
240,81,231,35.0,49.45,6.21,124.49,tomato
185,82,240,29.64,67.11,5.91,89.37,chilli
110,55,156,19.92,61.73,6.34,83.05,spinach
161,81,231,29.98,68.22,6.44,160.47,tomato
163,83,232,26.79,54.51,5.63,123.65,tomato
181,94,263,27.82,46.39,5.88,124.7,tomato
142,51,232,23.1,56.6,6.4,97.73,tomato
146,57,201,17.92,70.97,6.69,123.27,spinach
140,65,275,29.26,60.88,6.0,53.03,chilli
128,67,173,24.04,74.54,5.97,86.39,spinach
171,60,244,32.11,69.82,5.83,68.05,chilli
130,78,282,25.32,56.9,6.13,60.0,tomato
170,56,205,25.0,52.62,5.82,132.96,tomato
159,60,243,36.74,71.91,7.27,90.25,ladyfinger
218,81,281,35.0,64.78,6.22,138.06,tomato
168,50,260,27.18,67.76,5.76,104.52,tomato
138,83,249,28.44,55.82,7.0,154.0,tomato
111,62,224,22.27,76.82,6.16,76.13,spinach
126,91,208,31.51,72.07,6.28,103.62,ladyfinger
157,76,189,28.85,50.15,5.81,108.87,chilli
132,44,184,27.74,63.47,6.57,97.4,spinach
142,78,173,33.54,63.42,6.04,85.46,chilli
153,118,303,27.91,62.06,5.95,130.81,tomato
159,50,239,27.32,65.72,5.64,81.99,tomato
171,88,209,28.67,64.42,6.47,71.58,tomato
176,86,271,30.2,52.11,6.09,149.87,tomato
110,62,232,31.93,49.57,5.88,78.05,chilli
144,69,250,29.42,69.42,6.34,97.86,ladyfinger
171,84,235,25.46,55.32,6.01,128.99,tomato
117,55,177,20.67,57.92,6.45,114.23,spinach
157,54,265,28.81,68.91,6.52,139.78,ladyfinger
183,79,240,27.07,47.62,6.31,118.99,tomato
107,60,150,20.25,64.75,6.23,61.27,spinach
113,51,165,19.67,56.12,7.03,98.71,spinach
166,49,238,29.3,60.66,6.31,122.16,chilli
133,78,202,26.54,84.95,5.84,114.05,ladyfinger
135,56,218,21.76,65.63,5.9,98.33,spinach
139,64,237,20.19,63.16,6.01,72.15,spinach
162,71,282,33.68,73.2,6.5,99.36,ladyfinger
156,62,194,18.92,74.84,6.21,112.57,spinach
118,55,194,30.61,73.64,6.3,97.03,ladyfinger
197,97,276,28.75,58.15,5.97,156.78,tomato
152,58,226,24.84,63.38,6.02,79.58,chilli
145,66,236,32.79,58.36,6.44,78.62,ladyfinger
176,85,224,26.21,45.16,6.04,80.0,chilli
112,54,199,16.81,76.96,6.51,88.86,spinach
184,64,206,25.78,69.54,6.58,126.08,tomato
121,47,206,17.33,67.65,6.75,40.13,spinach
145,72,214,19.36,80.0,6.34,73.3,spinach
198,120,247,29.18,54.1,6.27,131.51,tomato
127,65,170,28.05,47.25,6.25,76.53,chilli
177,71,291,32.13,74.62,5.82,91.85,ladyfinger
173,74,188,22.44,56.19,5.91,70.46,chilli
186,78,263,32.28,64.65,5.84,109.12,ladyfinger
149,77,187,27.77,54.07,6.76,87.72,chilli
188,65,251,23.6,45.85,6.35,110.4,tomato
155,66,271,33.94,75.61,6.69,106.62,ladyfinger
164,79,280,35.0,50.04,6.38,102.31,tomato
144,86,244,31.11,42.95,5.98,78.2,chilli
140,77,243,29.88,60.36,6.45,137.59,tomato
100,52,245,23.92,60.43,6.67,107.99,spinach
190,57,240,32.88,72.99,6.29,138.19,ladyfinger
152,84,201,33.0,48.75,5.66,106.37,chilli
146,67,291,31.06,57.09,6.54,128.53,tomato
80,53,159,25.62,71.22,6.64,110.42,spinach
209,84,288,28.87,50.74,5.67,81.21,tomato
139,55,209,29.28,57.15,6.1,73.44,chilli
190,97,198,29.23,57.79,6.25,131.47,tomato
158,60,209,29.47,42.73,5.32,77.99,chilli
140,71,272,27.41,56.28,6.22,76.36,tomato
125,57,221,21.59,68.12,6.47,85.31,spinach
148,77,268,24.38,66.47,5.86,107.93,tomato
144,55,234,28.05,40.0,5.85,109.62,chilli
175,68,300,33.21,68.87,6.06,93.63,ladyfinger
122,62,212,22.67,58.68,6.64,117.64,spinach
132,58,184,21.38,61.06,6.32,96.99,spinach
177,40,244,32.66,83.35,5.79,144.26,ladyfinger
179,86,269,33.32,77.23,6.05,127.08,ladyfinger
124,51,205,25.22,56.79,6.54,66.0,spinach
177,86,256,30.87,55.26,6.35,104.64,chilli
153,41,203,28.56,40.0,5.54,50.38,chilli
165,60,254,30.43,49.62,6.27,107.86,chilli
172,54,199,31.78,62.77,6.72,127.92,ladyfinger
142,86,219,27.28,59.47,5.84,65.51,chilli
145,82,195,27.68,46.94,6.03,68.24,chilli
152,47,175,15.54,59.89,6.1,112.84,spinach
179,84,215,27.34,64.88,5.58,125.02,tomato
136,45,212,23.52,73.48,7.33,87.85,spinach
170,70,198,34.77,49.0,5.14,99.17,chilli
170,64,266,34.91,73.31,6.42,124.46,ladyfinger
190,66,239,27.66,67.53,6.3,91.76,ladyfinger
136,57,269,29.56,71.44,6.49,138.55,ladyfinger
159,72,216,32.43,64.86,5.39,78.06,chilli
146,107,260,23.78,56.47,6.24,162.61,tomato
157,99,221,23.15,63.05,5.87,128.03,tomato
117,63,189,17.18,79.0,6.91,54.15,spinach
150,49,237,29.55,61.56,6.11,160.0,ladyfinger
172,105,261,25.41,59.75,6.21,131.82,tomato
174,63,225,31.91,61.1,5.98,132.74,tomato
151,82,262,24.47,67.42,5.5,105.55,tomato
164,70,206,33.08,68.17,6.51,94.06,ladyfinger
152,75,223,33.57,57.76,5.98,110.84,chilli
134,59,230,28.5,81.77,5.87,139.61,ladyfinger
142,73,215,32.82,42.76,5.4,93.62,chilli
174,66,240,29.88,83.93,7.5,103.87,ladyfinger
95,69,198,25.35,67.74,6.64,91.4,spinach
105,63,223,23.35,74.47,6.15,113.34,spinach
103,69,217,20.67,61.16,6.59,89.26,spinach
153,78,236,28.57,50.74,6.26,104.3,chilli
119,40,191,24.67,69.6,6.65,81.0,spinach
125,59,216,26.96,57.71,5.91,90.21,chilli
174,75,180,30.76,77.6,6.51,83.68,ladyfinger
156,74,225,31.47,55.44,6.0,113.93,chilli
201,86,262,26.72,63.6,6.1,133.9,tomato
153,48,199,27.96,48.63,6.08,86.79,chilli
174,51,197,23.14,48.74,6.31,81.72,chilli
189,37,270,30.37,69.38,6.19,143.94,ladyfinger
191,65,188,33.1,64.43,6.75,125.32,ladyfinger
174,47,294,28.33,78.2,6.0,96.38,ladyfinger
174,77,284,31.82,58.63,6.64,128.94,tomato
172,74,273,34.65,68.72,5.95,146.69,ladyfinger
143,63,228,28.25,58.19,5.47,85.22,chilli
128,69,216,17.49,73.42,6.2,72.32,spinach
145,65,217,30.88,40.0,5.37,77.26,chilli
148,49,153,25.02,59.52,6.74,40.6,spinach
187,52,258,37.04,69.98,6.07,112.71,ladyfinger
148,79,210,32.49,40.0,5.59,109.59,chilli
180,58,231,34.36,79.38,6.19,153.11,ladyfinger
137,63,207,22.31,64.5,6.27,74.39,spinach
104,50,223,22.99,60.76,6.65,81.94,spinach
192,69,216,34.4,74.53,6.41,115.86,ladyfinger
131,57,234,22.38,61.56,6.54,90.87,spinach
165,86,268,27.7,59.54,6.36,114.22,tomato
127,72,181,30.12,43.62,6.18,71.51,chilli
117,56,194,20.05,66.35,6.63,58.19,spinach
161,87,232,30.31,47.11,6.21,133.13,chilli
145,57,220,30.22,59.76,5.95,91.75,ladyfinger
201,79,251,27.44,69.7,5.7,135.2,tomato
194,78,292,26.55,67.64,6.18,104.79,tomato
125,60,160,24.69,61.14,6.54,112.24,spinach
222,66,265,27.74,70.06,6.36,114.13,tomato
168,89,205,28.55,63.62,6.88,100.73,tomato
210,83,213,32.06,76.03,6.71,119.73,ladyfinger
106,73,199,17.71,66.02,6.3,96.81,spinach
171,120,259,26.84,45.0,6.76,86.37,tomato
129,85,221,33.6,58.36,6.32,116.41,ladyfinger
146,104,275,31.27,56.3,6.14,84.17,tomato
138,43,218,22.04,57.37,6.38,93.73,spinach
156,74,191,29.45,56.89,6.3,136.65,ladyfinger
191,77,259,33.64,67.13,5.82,105.58,ladyfinger
131,73,220,29.48,65.71,5.72,63.01,chilli
213,59,268,25.79,48.68,6.29,145.24,tomato
107,51,153,20.64,50.0,6.02,95.21,spinach
140,77,203,28.67,72.94,7.04,102.24,ladyfinger
238,77,247,30.99,73.63,5.54,75.34,tomato
89,50,220,18.24,67.35,6.09,89.33,spinach
206,75,210,30.23,58.36,6.21,160.19,tomato
184,59,235,30.53,51.59,5.5,114.32,tomato
165,58,250,33.64,79.26,6.79,120.81,ladyfinger
127,82,230,33.15,57.6,6.06,55.48,chilli
134,59,192,19.48,57.91,6.66,104.58,spinach
98,62,171,24.0,68.7,5.98,66.45,spinach
172,59,236,30.33,71.19,7.02,131.31,ladyfinger
97,65,198,24.01,56.43,6.03,96.36,spinach
164,70,206,25.95,66.36,6.24,75.87,chilli
163,69,201,26.47,63.45,6.98,117.35,ladyfinger
137,55,236,21.21,80.0,6.69,62.86,spinach
142,61,253,30.97,78.63,6.0,82.46,ladyfinger
200,67,237,26.64,45.63,6.07,138.32,tomato
152,73,197,28.85,53.35,6.64,50.0,chilli
84,60,219,20.27,50.0,6.34,87.84,spinach
144,56,151,18.65,63.51,6.59,78.87,spinach
145,65,256,27.76,55.37,6.01,137.4,tomato
189,79,230,21.85,62.99,6.78,105.22,tomato
131,60,289,27.17,54.63,5.7,106.12,tomato
130,66,299,26.25,50.61,6.12,171.7,tomato
151,102,240,32.36,59.37,5.5,142.3,tomato
146,75,236,30.44,74.95,6.11,124.04,ladyfinger
135,53,208,33.25,54.8,6.25,123.29,chilli
143,53,231,35.51,69.96,6.22,76.44,ladyfinger
196,81,197,25.42,65.38,6.27,149.52,tomato
115,56,164,20.37,65.89,6.15,87.51,spinach
160,47,216,26.53,53.38,6.39,96.1,chilli
169,72,211,36.44,54.25,6.47,81.98,chilli
133,53,178,24.64,70.77,6.23,107.11,spinach
93,53,223,21.62,77.09,6.06,79.76,spinach
96,57,151,18.02,66.57,6.72,83.43,spinach
115,59,223,19.59,76.94,6.42,79.57,spinach
171,62,229,28.47,56.46,6.36,65.46,chilli
192,77,234,31.11,48.62,5.81,110.06,tomato
132,76,201,19.82,63.54,6.91,67.08,spinach
120,45,212,22.6,60.2,6.52,72.29,spinach
180,75,245,28.64,52.05,5.79,85.29,tomato
123,74,175,19.97,69.11,6.55,87.01,spinach
154,90,293,27.05,58.07,6.79,132.64,tomato
177,68,254,29.43,61.8,5.11,138.38,chilli
126,48,245,26.11,53.57,6.3,77.7,chilli
169,87,264,33.6,78.24,6.25,98.82,ladyfinger
191,95,203,31.24,60.3,6.64,118.24,tomato
133,67,237,31.64,49.36,5.66,103.14,chilli
154,60,236,30.23,72.63,6.19,120.31,ladyfinger
159,57,266,24.89,65.75,6.73,103.53,ladyfinger
162,96,263,23.37,55.69,6.35,140.94,tomato
148,88,204,28.22,58.83,5.77,93.05,chilli
107,60,245,21.43,70.76,6.11,60.87,spinach
161,100,230,25.58,60.61,6.47,116.46,tomato
163,42,233,32.69,69.31,6.17,89.18,ladyfinger
84,58,152,21.79,54.05,7.1,98.23,spinach
164,81,250,29.44,57.85,5.5,109.18,tomato
138,56,200,30.57,65.23,5.5,125.4,ladyfinger
190,91,257,27.03,64.73,6.47,127.69,tomato
162,65,218,30.27,55.86,6.4,102.87,chilli
140,65,228,31.37,40.0,6.41,118.73,chilli
122,44,150,23.31,72.23,5.79,59.81,spinach
